date,type,y
2017-01-11,A,-4.6161974285714376
2017-01-11,C,-17.27080342857143
2017-01-11,E,-10.327332428571427
2017-01-11,G,-14.302986857142857
2017-01-11,H,100.52141771428572
2017-01-11,J,854.6523714285717
2017-01-11,U,83.50175714285719
2017-01-12,A,-11.318415142857146
2017-01-12,C,-17.48393742857143
2017-01-12,E,-12.199032428571432
2017-01-12,G,-14.909822285714284
2017-01-12,H,53.938615571428514
2017-01-12,J,406.1041142857144
2017-01-12,U,66.53131600000002
2017-01-13,A,-12.926252428571429
2017-01-13,C,-17.38149657142857
2017-01-13,E,-12.218681142857141
2017-01-13,G,-14.905289
2017-01-13,H,78.67738957142852
2017-01-13,J,540.4792142857143
2017-01-13,U,56.881748999999964
2017-01-14,A,-13.869468714285714
2017-01-14,C,-17.368166857142857
2017-01-14,E,-14.306503285714289
2017-01-14,G,-15.211704714285714
2017-01-14,H,58.374658857142826
2017-01-14,J,372.7981285714285
2017-01-14,U,61.14148814285714
2017-01-15,A,-15.226360285714284
2017-01-15,C,-17.39114842857143
2017-01-15,E,-13.972806142857142
2017-01-15,G,-15.401550142857142
2017-01-15,H,53.328853857142846
2017-01-15,J,380.89657142857146
2017-01-15,U,54.6623568571429
2017-01-16,A,-9.206041428571426
2017-01-16,C,-17.20751357142857
2017-01-16,E,-13.524711142857141
2017-01-16,G,-15.281643714285712
2017-01-16,H,45.12401228571425
2017-01-16,J,502.10160000000013
2017-01-16,U,58.01127499999999
2017-01-17,A,-12.219024571428573
2017-01-17,C,-17.303990000000002
2017-01-17,E,-12.525898999999997
2017-01-17,G,-14.322890285714289
2017-01-17,H,19.97482671428571
2017-01-17,J,375.00447142857155
2017-01-17,U,49.02541457142854
2017-01-18,A,-13.404419857142859
2017-01-18,C,-17.420656285714283
2017-01-18,E,-12.544467428571428
2017-01-18,G,-14.386202714285714
2017-01-18,H,11.877783285714278
2017-01-18,J,312.6672285714284
2017-01-18,U,44.42848285714286
2017-01-19,A,-15.617621
2017-01-19,C,-17.528216714285715
2017-01-19,E,-13.66721128571429
2017-01-19,G,-14.906520285714285
2017-01-19,H,14.135845142857132
2017-01-19,J,337.9444428571431
2017-01-19,U,38.67323157142855
2017-01-20,A,-16.396058714285715
2017-01-20,C,-17.52681257142857
2017-01-20,E,-13.32517814285714
2017-01-20,G,-15.421920142857143
2017-01-20,H,10.906477571428594
2017-01-20,J,310.62227142857137
2017-01-20,U,33.988733285714304
2017-01-21,A,-16.04120842857143
2017-01-21,C,-17.536405285714284
2017-01-21,E,-15.17211442857143
2017-01-21,G,-15.935772714285717
2017-01-21,H,5.361556857142854
2017-01-21,J,259.0323857142858
2017-01-21,U,32.75084442857142
2017-01-22,A,-17.294405857142856
2017-01-22,C,-17.552287
2017-01-22,E,-15.118988857142856
2017-01-22,G,-15.675101142857143
2017-01-22,H,-2.40634457142857
2017-01-22,J,203.84242857142854
2017-01-22,U,29.94029414285713
2017-01-23,A,-16.313682285714286
2017-01-23,C,-17.523669285714284
2017-01-23,E,-15.35799285714286
2017-01-23,G,-15.677897857142856
2017-01-23,H,-3.6019589999999915
2017-01-23,J,276.1171571428572
2017-01-23,U,28.042551000000003
2017-01-24,A,-16.489066
2017-01-24,C,-17.45714342857143
2017-01-24,E,-14.07512157142857
2017-01-24,G,-15.71995742857143
2017-01-24,H,11.664247285714298
2017-01-24,J,307.0094000000001
2017-01-24,U,35.42441657142857
2017-01-25,A,-15.321969142857146
2017-01-25,C,-17.543765714285716
2017-01-25,E,-14.45252085714286
2017-01-25,G,-15.220043
2017-01-25,H,4.5163434285714334
2017-01-25,J,266.192757142857
2017-01-25,U,35.44232142857142
2017-01-26,A,-16.250863285714285
2017-01-26,C,-17.391433142857142
2017-01-26,E,-15.224058285714287
2017-01-26,G,-15.257628714285714
2017-01-26,H,4.332928999999999
2017-01-26,J,267.82688571428565
2017-01-26,U,33.9667984285714
